Node,OH,
SM1312  ,S ,
SM1313  ,A ,
SM1314  ,A ,
SM1315  ,S ,
SM1316  ,A ,
SM1317  ,S ,
SM1318  ,S ,
SM1319  ,S ,
SM1320  ,S ,
SM1321  ,S ,
SM1322  ,S ,
SM1323  ,S ,
SM1324  ,S ,
SM1325  ,S ,
SM1326  ,A ,
SM1327  ,S ,
SM1328  ,A ,
SM1329  ,S ,
SM1330  ,S ,
SM1331  ,A ,
SM1332  ,S ,
SM1333  ,S ,
SM1334  ,A ,
SM1335  ,S ,
SM1336  ,A ,
SM1337  ,S ,
SM1338  ,S ,
SM1339  ,S ,
SM1340  ,A ,
SM1341  ,S ,
SM1342  ,A ,
SM1343  ,S ,
SM1344  ,S ,
SM1345  ,S ,
SM1346  ,A ,
SM1347  ,A ,
SM1348  ,S ,
SM1349  ,S ,
SM1350  ,S ,
SM1351  ,S ,
SM1352  ,S ,
SM1353  ,A ,
SM1354  ,S ,
SM1355  ,S ,
SM1356  ,S ,
SM1357  ,A ,
SM1358  ,S ,
SM1359  ,A ,
SM1360  ,A ,
SM1361  ,S ,
SM1362  ,S ,
SM1363  ,A ,
SM1364  ,S ,
SM1365  ,S ,
SM1366  ,S ,
SM1367  ,S ,
SM1368  ,S ,
SM1369  ,S ,
SM1370  ,S ,
